marital,age,job,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,58,management,2,0,2143,1,0,3,5,may,261,1,-1,0,3,0
0,44,technician,1,0,29,1,0,3,5,may,151,1,-1,0,3,0
1,33,entrepreneur,1,0,2,1,1,3,5,may,76,1,-1,0,3,0
1,47,blue-collar,3,0,1506,1,0,3,5,may,92,1,-1,0,3,0
0,33,3,3,0,1,0,0,3,5,may,198,1,-1,0,3,0
1,35,management,2,0,231,1,0,3,5,may,139,1,-1,0,3,0
0,28,management,2,0,447,1,1,3,5,may,217,1,-1,0,3,0
2,42,entrepreneur,2,1,2,1,0,3,5,may,380,1,-1,0,3,0
1,58,retired,0,0,121,1,0,3,5,may,50,1,-1,0,3,0
0,43,technician,1,0,593,1,0,3,5,may,55,1,-1,0,3,0
2,41,admin.,1,0,270,1,0,3,5,may,222,1,-1,0,3,0
0,29,admin.,1,0,390,1,0,3,5,may,137,1,-1,0,3,0
1,53,technician,1,0,6,1,0,3,5,may,517,1,-1,0,3,0
1,58,technician,3,0,71,1,0,3,5,may,71,1,-1,0,3,0
1,57,services,1,0,162,1,0,3,5,may,174,1,-1,0,3,0
1,51,retired,0,0,229,1,0,3,5,may,353,1,-1,0,3,0
0,45,admin.,3,0,13,1,0,3,5,may,98,1,-1,0,3,0
1,57,blue-collar,0,0,52,1,0,3,5,may,38,1,-1,0,3,0
1,60,retired,0,0,60,1,0,3,5,may,219,1,-1,0,3,0
1,33,services,1,0,0,1,0,3,5,may,54,1,-1,0,3,0
1,28,blue-collar,1,0,723,1,1,3,5,may,262,1,-1,0,3,0
1,56,management,2,0,779,1,0,3,5,may,164,1,-1,0,3,0
0,32,blue-collar,0,0,23,1,1,3,5,may,160,1,-1,0,3,0
1,25,services,1,0,50,1,0,3,5,may,342,1,-1,0,3,0
1,40,retired,0,0,0,1,1,3,5,may,181,1,-1,0,3,0
1,44,admin.,1,0,-372,1,0,3,5,may,172,1,-1,0,3,0
0,39,management,2,0,255,1,0,3,5,may,296,1,-1,0,3,0
1,52,entrepreneur,1,0,113,1,1,3,5,may,127,1,-1,0,3,0
0,46,management,1,0,-246,1,0,3,5,may,255,2,-1,0,3,0
0,36,technician,1,0,265,1,1,3,5,may,348,1,-1,0,3,0
1,57,technician,1,0,839,0,1,3,5,may,225,1,-1,0,3,0
1,49,management,2,0,378,1,0,3,5,may,230,1,-1,0,3,0
1,60,admin.,1,0,39,1,1,3,5,may,208,1,-1,0,3,0
1,59,blue-collar,1,0,0,1,0,3,5,may,226,1,-1,0,3,0
1,51,management,2,0,10635,1,0,3,5,may,336,1,-1,0,3,0
2,57,technician,1,0,63,1,0,3,5,may,242,1,-1,0,3,0
1,25,blue-collar,1,0,-7,1,0,3,5,may,365,1,-1,0,3,0
1,53,technician,1,0,-3,0,0,3,5,may,1666,1,-1,0,3,0
2,36,admin.,1,0,506,1,0,3,5,may,577,1,-1,0,3,0
0,37,admin.,1,0,0,1,0,3,5,may,137,1,-1,0,3,0
2,44,services,1,0,2586,1,0,3,5,may,160,1,-1,0,3,0
1,50,management,1,0,49,1,0,3,5,may,180,2,-1,0,3,0
1,60,blue-collar,3,0,104,1,0,3,5,may,22,1,-1,0,3,0
1,54,retired,1,0,529,1,0,3,5,may,1492,1,-1,0,3,0
1,58,retired,3,0,96,1,0,3,5,may,616,1,-1,0,3,0
0,36,admin.,0,0,-171,1,0,3,5,may,242,1,-1,0,3,0
1,58,self-employed,2,0,-364,1,0,3,5,may,355,1,-1,0,3,0
1,44,technician,1,0,0,1,0,3,5,may,225,2,-1,0,3,0
2,55,technician,1,0,0,0,0,3,5,may,160,1,-1,0,3,0
0,29,management,2,0,0,1,0,3,5,may,363,1,-1,0,3,0
1,54,blue-collar,1,0,1291,1,0,3,5,may,266,1,-1,0,3,0
2,48,management,2,0,-244,1,0,3,5,may,253,1,-1,0,3,0
1,32,management,2,0,0,1,0,3,5,may,179,1,-1,0,3,0
0,42,admin.,1,0,-76,1,0,3,5,may,787,1,-1,0,3,0
0,24,technician,1,0,-103,1,1,3,5,may,145,1,-1,0,3,0
0,38,entrepreneur,2,0,243,0,1,3,5,may,174,1,-1,0,3,0
0,38,management,2,0,424,1,0,3,5,may,104,1,-1,0,3,0
1,47,blue-collar,3,0,306,1,0,3,5,may,13,1,-1,0,3,0
0,40,blue-collar,3,0,24,1,0,3,5,may,185,1,-1,0,3,0
1,46,services,0,0,179,1,0,3,5,may,1778,1,-1,0,3,0
1,32,admin.,2,0,0,1,0,3,5,may,138,1,-1,0,3,0
2,53,technician,1,0,989,1,0,3,5,may,812,1,-1,0,3,0
1,57,blue-collar,0,0,249,1,0,3,5,may,164,1,-1,0,3,0
1,33,services,1,0,790,1,0,3,5,may,391,1,-1,0,3,0
1,49,blue-collar,3,0,154,1,0,3,5,may,357,1,-1,0,3,0
1,51,management,2,0,6530,1,0,3,5,may,91,1,-1,0,3,0
